,DATE,LATITUDE_A,LONGITUDE_A,ELEVATION_A,PRCP_A,SNWD_A,TMAX_A,TMIN_A,TAVG_A,LATITUDE_B,LONGITUDE_B,ELEVATION_B,PRCP_B,SNWD_B,TMAX_B,TMIN_B,TAVG_B,LATITUDE_C,LONGITUDE_C,ELEVATION_C,PRCP_C,SNWD_C,TMAX_C,TMIN_C,TAVG_C,LATITUDE,LONGITUDE,TAVG
13,31-07-1980,63.88,77.52,128,,0,,21.5,31.2,62.95,79.82,66,0,0,37.45,16.88,73.37,63.08,78.93,64,0,0,39.6,,,63.933,78.733,28
14,23-04-1977,63.88,77.52,128,,0,22,,17.28,62.95,79.82,66,33,0,61.42,4.4,15.07,63.08,78.93,64,,0,25.3,7.6,17.64,63.933,78.733,12.2
15,03-01-1980,63.88,77.52,128,0,0,0,,-2.16,62.95,79.82,66,0,0,1.18,-1.2,32.12,63.08,78.93,64,0,0,1.1,,37.8,63.933,78.733,-1.7
16,25-03-1978,63.88,77.52,128,0,0,15.4,,8.64,62.95,79.82,66,0,2.87,21.4,1.92,11.55,63.08,78.93,64,0,0,26.4,4.75,57.12,63.933,78.733,2.3
17,24-09-1978,63.88,77.52,128,0,0,33,12.9,24.36,62.95,79.82,66,0,0,38.31,13.52,27.83,63.08,78.93,64,0,0,38.5,15.2,27,63.933,78.733,21.6
18,30-06-1979,63.88,77.52,128,,0,40.7,,33.6,62.95,79.82,66,0,0,38.09,13.68,29.7,63.08,78.93,64,0,0,39.6,16.15,28.8,63.933,78.733,28.8
19,05-04-1978,63.88,77.52,128,,0,20.9,4.3,10.8,62.95,79.82,66,0,0,23.33,4.96,15.29,63.08,78.93,64,0,0,30.8,,14.76,63.933,78.733,5
20,12-04-1979,63.88,77.52,128,0,0,,,12.36,62.95,79.82,66,0,0,23.75,3.28,13.75,63.08,78.93,64,0,0,24.2,2.85,16.32,63.933,78.733,8.3
21,31-03-1976,63.88,77.52,128,,0,5.5,-3.44,3.6,62.95,79.82,66,0,0,17.12,-0.8,8.58,63.08,78.93,64,0,0,,,,63.933,78.733,-0.5
22,28-12-1975,63.88,77.52,128,,0,2.2,,-0.48,62.95,79.82,66,0,0,8.56,-0.4,,63.08,78.93,64,0,0,4.4,,0.96,63.933,78.733,0
23,28-09-1978,63.88,77.52,128,0,0,19.8,,11.76,62.95,79.82,66,0,0,22.04,6.8,,63.08,78.93,64,0,2.89,23.1,6.65,18,63.933,78.733,13.5
24,22-11-1976,63.88,77.52,128,,0,,,1.2,62.95,79.82,66,0,0,10.06,-5.44,27.17,63.08,78.93,64,0,0,53.68,15.77,2.16,63.933,78.733,1.2
25,16-12-1976,63.88,77.52,128,,0,,-9.46,-8.04,62.95,79.82,66,0,0,0.43,-8.16,-6.6,63.08,78.93,64,0,0,1.1,-7.6,-7.8,63.933,78.733,-5.5
26,19-02-1979,63.88,77.52,128,,0,-8.8,,-11.4,62.95,79.82,66,16,0,-1.82,-6.16,-6.93,63.08,78.93,64,,0,,,16.56,63.933,78.733,-8
27,11-08-1979,63.88,77.52,128,0,0,42.9,,77.52,62.95,79.82,66,0,0,40.02,14.48,30.14,63.08,78.93,64,,0,,,33.84,63.933,78.733,29.2
28,17-12-1976,63.88,77.52,128,,0,,,-4.56,62.95,79.82,66,4,0,1.07,-8.32,-5.72,63.08,78.93,64,14,0,,,,63.933,78.733,-2.2
29,23-11-1979,63.88,77.52,128,,0,8.8,-6.02,-1.2,62.95,79.82,66,0,0,11.77,-5.92,0.11,63.08,78.93,64,0,0,11,29.26,3.24,63.933,78.733,-0.5
30,04-04-1977,63.88,77.52,128,,0,20.9,31.65,7.2,62.95,79.82,66,0,0,21.61,2.08,11.11,63.08,78.93,64,,0,22,,,63.933,78.733,0.8
31,18-06-1976,63.88,77.52,128,,0,38.5,,31.2,62.95,79.82,66,0,0,39.27,13.68,31.35,63.08,78.93,64,0,0,,,,63.933,78.733,23.8
32,23-08-1978,63.88,77.52,128,0,0,,,20.16,62.95,79.82,66,0,0,25.47,6.8,18.81,63.08,78.93,64,,2.96,,10.45,21.24,63.933,78.733,20
33,31-01-1979,63.88,77.52,128,0,3.01,-1.1,,-8.88,62.95,79.82,66,0,0,-0.75,-11.6,-9.9,63.08,78.93,64,0,0,-2.2,,-8.76,63.933,78.733,-7.2
34,14-10-1977,63.88,77.52,128,10,0,16.5,27.18,36.24,62.95,79.82,66,82,0,19.9,6,12.87,63.08,78.93,64,10,0,19.8,6.65,15.36,63.933,78.733,10.4
35,09-01-1978,63.88,77.52,128,,0,-1.1,,,62.95,79.82,66,0,0,0.86,-1.76,-0.99,63.08,78.93,64,,0,14.3,,-0.96,63.933,78.733,-1
36,07-10-1978,63.88,77.52,128,,0,20.9,,14.04,62.95,79.82,66,0,2.9,23.01,-1.84,10.01,63.08,78.93,64,0,0,23.1,,13.44,63.933,78.733,9.8
37,17-03-1980,63.88,77.52,128,0,0,3.3,,-5.52,62.95,79.82,66,0,0,5.35,-8.32,-3.19,63.08,78.93,64,0,0,5.5,,-2.64,63.933,78.733,-5.8
38,11-11-1975,63.88,77.52,128,,0,44.44,,1.8,62.95,79.82,66,0,0,10.16,-8.72,-2.2,63.08,78.93,64,0,0,11,25.18,,63.933,78.733,0.6
39,20-12-1979,63.88,77.52,128,3,0,,,-7.8,62.95,79.82,66,0,0,-0.21,-2.4,-2.2,63.08,78.93,64,,3.75,,,-3.24,63.933,78.733,-3.2
40,01-02-1977,63.88,77.52,128,,0,-14.3,,,62.95,79.82,66,0,0,-11.77,-20.88,-21.45,63.08,78.93,64,0,0,-9.9,-24.7,-21.24,63.933,78.733,-21.5
41,07-04-1979,63.88,77.52,128,0,0,19.8,,14.64,62.95,79.82,66,0,3.9,20.97,3.44,13.64,63.08,78.93,64,0,0,20.9,4.75,,63.933,78.733,13.2
42,05-12-1978,63.88,77.52,128,0,0,,,3.6,62.95,79.82,66,52,0,6.63,0.88,4.4,63.08,78.93,64,,0,5.5,,4.44,63.933,78.733,3.4
43,30-07-1980,63.88,77.52,128,,3.4,,20.64,34.8,62.95,79.82,66,0,0,37.02,14.4,30.03,63.08,78.93,64,0,0,,19,31.2,63.933,78.733,28
44,07-12-1975,63.88,77.52,128,,0,0,,-8.16,62.95,79.82,66,0,0,-0.54,-7.2,-5.83,63.08,78.93,64,0,0,,,,63.933,78.733,-3.7
45,21-12-1975,63.88,77.52,128,,0,8.8,,,62.95,79.82,66,0,0,11.98,-4.48,35.86,63.08,78.93,64,0,3.03,13.2,-4.75,-0.48,63.933,78.733,1
46,28-03-1975,63.88,77.52,128,0,0,19.8,4.3,11.4,62.95,79.82,66,0,0,26.43,6.16,17.6,63.08,78.93,64,0,0,,,,63.933,78.733,7.4
47,12-07-1976,63.88,77.52,128,,0,44,,40.08,62.95,79.82,66,0,0,42.69,15.52,32.78,63.08,78.93,64,0,0,,,,63.933,78.733,29.2
48,02-05-1979,63.88,77.52,128,,0,23.1,,15.6,62.95,79.82,66,12,0,20.22,6.64,14.63,63.08,78.93,64,20,0,20.9,,48.24,63.933,78.733,11.2
49,29-11-1978,63.88,77.52,128,,0,4.4,,28.8,62.95,79.82,66,0,0,5.56,-1.36,36.63,63.08,78.93,64,0,0,5.5,,0,63.933,78.733,1.8
50,08-07-1979,63.88,77.52,128,,0,39.6,,83.04,62.95,79.82,66,0,0,82.28,13.68,62.59,63.08,78.93,64,0,2.94,45.1,20.9,35.76,63.933,78.733,28.5
51,02-06-1980,63.88,77.52,128,0,2.22,33,,25.8,62.95,79.82,66,0,0,32.1,12.88,25.63,63.08,78.93,64,0,0,35.2,,27.36,63.933,78.733,20.3
52,01-05-1979,63.88,77.52,128,,0,22,,14.16,62.95,79.82,66,0,0,21.4,3.6,,63.08,78.93,64,99,3.96,22,6.65,,63.933,78.733,12.2
53,12-02-1980,63.88,77.52,128,0,0,2.2,,-4.8,62.95,79.82,66,0,0,-0.32,-7.2,-5.83,63.08,78.93,64,,0,0,,-6.96,63.933,78.733,-4.8
54,23-02-1977,63.88,77.52,128,0,0,,,0.6,62.95,79.82,66,0,2.78,9.1,-3.12,1.1,63.08,78.93,64,0,0,8.8,-2.85,0.24,63.933,78.733,0.5
55,23-02-1978,63.88,77.52,128,0,3.77,-2.2,,-6.24,62.95,79.82,66,24,0,28.46,-4.72,19.14,63.08,78.93,64,3,0,-1.1,,-5.76,63.933,78.733,-4
56,08-01-1980,63.88,77.52,128,,0,-8.8,,-17.76,62.95,79.82,66,16,0,-4.28,-6.8,-7.04,63.08,78.93,64,,0,-5.5,-7.6,-8.4,63.933,78.733,-8.2
57,17-07-1977,63.88,77.52,128,0,0,40.7,17.2,34.8,62.95,79.82,66,0,0,38.41,15.12,,63.08,78.93,64,0,0,40.7,18.05,57.12,63.933,78.733,26.7
58,10-04-1979,63.88,77.52,128,0,0,,25.37,3.84,62.95,79.82,66,0,0,17.33,0.88,48.95,63.08,78.93,64,,0,47.08,2.85,8.16,63.933,78.733,4.2
59,18-07-1978,63.88,77.52,128,,0,40.7,,38.76,62.95,79.82,66,0,0,36.59,16.24,58.96,63.08,78.93,64,0,0,36.3,,34.2,63.933,78.733,28.2
60,13-09-1976,63.88,77.52,128,0,2.57,24.2,,15.96,62.95,79.82,66,0,0,22.26,2.56,13.86,63.08,78.93,64,0,0,24.2,,18.96,63.933,78.733,17.2
61,28-02-1977,63.88,77.52,128,0,0,-5.5,,-12.72,62.95,79.82,66,0,0,0.43,-12.16,-9.24,63.08,78.93,64,0,0,2.2,-13.3,-3,63.933,78.733,-8
62,09-04-1979,63.88,77.52,128,,2.94,,,7.92,62.95,79.82,66,0,0,21.51,9.12,16.5,63.08,78.93,64,0,0,23.1,11.4,,63.933,78.733,5.3
63,27-10-1978,63.88,77.52,128,0,0,17.6,,8.76,62.95,79.82,66,0,0,17.87,0.08,7.92,63.08,78.93,64,,3.48,46.86,,,63.933,78.733,8
64,10-09-1979,63.88,77.52,128,,0,35.2,,29.28,62.95,79.82,66,0,0,35.74,43.04,25.85,63.08,78.93,64,0,0,,15.2,27.6,63.933,78.733,23.7
65,27-02-1977,63.88,77.52,128,0,0,21.78,-18.06,-19.2,62.95,79.82,66,2,0,-6.74,-13.92,-14.19,63.08,78.93,64,0,0,,,,63.933,78.733,-17.8
66,02-03-1980,63.88,77.52,128,,0,-2.2,-10.32,-7.44,62.95,79.82,66,0,0,3,-7.2,-3.96,63.08,78.93,64,,0,12.1,,-3.6,63.933,78.733,-7
67,26-05-1979,63.88,77.52,128,0,0,,,20.16,62.95,79.82,66,0,0,26.64,11.04,19.36,63.08,78.93,64,0,0,27.5,,18.24,63.933,78.733,14.3
68,19-12-1977,63.88,77.52,128,0,0,,-4.3,-2.28,62.95,79.82,66,0,0,1.71,-2.72,-0.77,63.08,78.93,64,99,0,,,39.12,63.933,78.733,-1.5
69,06-09-1980,63.88,77.52,128,0,0,27.5,,22.8,62.95,79.82,66,0,0,27.82,9.6,20.68,63.08,78.93,64,,0,29.7,,23.28,63.933,78.733,20.6
70,02-12-1975,63.88,77.52,128,,0,-1.1,-7.74,-6.24,62.95,79.82,66,0,0,1.07,19.92,-2.42,63.08,78.93,64,0,0,,,,63.933,78.733,0.3
71,22-08-1980,63.88,77.52,128,,0,30.8,8.6,21.36,62.95,79.82,66,0,0,29.1,11.6,23.43,63.08,78.93,64,,2.4,,14.25,72.12,63.933,78.733,20.2
72,14-09-1975,63.88,77.52,128,,0,,,20.4,62.95,79.82,66,16,0,31.89,11.28,22.66,63.08,78.93,64,3,0,30.8,,22.8,63.933,78.733,19.3
73,31-10-1979,63.88,77.52,128,0,0,,,,62.95,79.82,66,0,0,11.77,1.6,7.48,63.08,78.93,64,0,0,13.2,,6.96,63.933,78.733,5.8
74,09-04-1978,63.88,77.52,128,0,0,16.5,26.06,7.92,62.95,79.82,66,0,0,20.33,2.4,11.22,63.08,78.93,64,,0,20.9,,,63.933,78.733,6.8
75,05-08-1978,63.88,77.52,128,,2.93,37.4,,28.08,62.95,79.82,66,0,0,35.95,12.56,27.61,63.08,78.93,64,,0,37.4,,,63.933,78.733,25.6
76,13-09-1979,63.88,77.52,128,,0,26.4,,20.4,62.95,79.82,66,58,0,25.79,10.48,,63.08,78.93,64,0,0,26.4,12.35,23.64,63.933,78.733,18.5
77,27-03-1980,63.88,77.52,128,,0,6.6,,-2.4,62.95,79.82,66,0,0,11.77,-1.84,4.29,63.08,78.93,64,0,0,8.8,,1.44,63.933,78.733,-0.6
78,03-07-1979,63.88,77.52,128,0,0,,14.62,32.04,62.95,79.82,66,0,3.61,36.27,13.28,57.42,63.08,78.93,64,,0,37.4,15.2,31.68,63.933,78.733,28.3
79,05-04-1975,63.88,77.52,128,0,3.18,25.3,,11.64,62.95,79.82,66,0,0,22.26,1.36,11.66,63.08,78.93,64,0,0,24.2,,16.32,63.933,78.733,7.6
80,26-04-1975,63.88,77.52,128,,0,23.1,21.76,15.6,62.95,79.82,66,0,0,26.75,3.6,15.62,63.08,78.93,64,0,3.74,26.4,3.8,66,63.933,78.733,11.8
81,09-04-1977,63.88,77.52,128,,0,30.8,3.44,19.2,62.95,79.82,66,0,0,29.96,3.12,42.9,63.08,78.93,64,,0,30.8,1.9,14.64,63.933,78.733,3.5
82,24-12-1978,63.88,77.52,128,,0,-15.4,,,62.95,79.82,66,0,0,-10.38,-15.76,12.21,63.08,78.93,64,0,0,0,,-18,63.933,78.733,-14.2
83,12-07-1979,63.88,77.52,128,0,0,39.6,18.92,32.16,62.95,79.82,66,0,0,36.38,16.4,30.25,63.08,78.93,64,0,0,38.5,,31.44,63.933,78.733,27.2
84,01-08-1979,63.88,77.52,128,,0,,,,62.95,79.82,66,0,0,67.84,16.08,32.56,63.08,78.93,64,,0,44,,82.68,63.933,78.733,29.3
85,28-12-1976,63.88,77.52,128,,0,,,-8.4,62.95,79.82,66,0,4,-4.07,22.16,17.93,63.08,78.93,64,0,0,-3.3,-9.5,-7.8,63.933,78.733,-7.6
86,27-09-1977,63.88,77.52,128,0,0,29.7,,23.16,62.95,79.82,66,0,2.96,29.42,10.08,55.55,63.08,78.93,64,0,0,30.8,,25.08,63.933,78.733,20.3
87,25-07-1975,63.88,77.52,128,,0,,15.48,34.56,62.95,79.82,66,0,0,76.51,14.48,63.47,63.08,78.93,64,0,0,39.6,15.2,30.96,63.933,78.733,27.2
88,13-12-1978,63.88,77.52,128,,0,-1.1,,-12.24,62.95,79.82,66,0,0,2.14,-1.52,33.66,63.08,78.93,64,,0,,,-1.2,63.933,78.733,-2.8
89,11-10-1978,63.88,77.52,128,,0,17.6,,45.96,62.95,79.82,66,0,0,16.69,-1.2,6.16,63.08,78.93,64,0,0,17.6,,54.48,63.933,78.733,9
90,21-08-1977,63.88,77.52,128,0,0,36.3,,56.16,62.95,79.82,66,0,0,33.17,10,23.87,63.08,78.93,64,0,0,34.1,14.25,67.92,63.933,78.733,22.5
91,30-11-1977,63.88,77.52,128,,0,8.8,,,62.95,79.82,66,0,0,12.84,0.24,6.16,63.08,78.93,64,,0,,,38.16,63.933,78.733,4.7
92,15-07-1978,63.88,77.52,128,,0,,18.92,36.12,62.95,79.82,66,0,0,40.77,18.4,33.11,63.08,78.93,64,,0,40.7,21.85,35.76,63.933,78.733,28.6
93,16-10-1978,63.88,77.52,128,,0,18.7,,9.84,62.95,79.82,66,0,0,21.51,3.6,13.75,63.08,78.93,64,0,0,22,3.8,10.56,63.933,78.733,9.5
94,25-10-1977,63.88,77.52,128,,0,13.2,2.58,38.76,62.95,79.82,66,0,0,37.66,-2.4,3.52,63.08,78.93,64,0,0,,-0.95,13.44,63.933,78.733,6.6
95,21-11-1977,63.88,77.52,128,0,0,,4.3,6.72,62.95,79.82,66,0,0,8.24,4.08,6.93,63.08,78.93,64,,0,,,6.72,63.933,78.733,5.8
96,10-01-1979,63.88,77.52,128,0,0,-9.9,,-14.88,62.95,79.82,66,0,0,-1.07,11.44,23.32,63.08,78.93,64,0,0,27.61,,-7.8,63.933,78.733,-7.8
97,24-01-1978,63.88,77.52,128,,0,,,-18.36,62.95,79.82,66,0,0,-6.42,-10.16,,63.08,78.93,64,,0,-6.6,-12.35,-13.2,63.933,78.733,-11.5
98,12-06-1976,63.88,77.52,128,0,0,,,29.4,62.95,79.82,66,0,0,38.09,17.28,28.82,63.08,78.93,64,0,3.42,33,,29.04,63.933,78.733,22.8
99,29-12-1976,63.88,77.52,128,,0,,-8.6,-9.96,62.95,79.82,66,0,0,33.28,-12.8,-10.89,63.08,78.93,64,0,0,,,,63.933,78.733,-7.3
100,12-09-1976,63.88,77.52,128,,0,24.2,,11.64,62.95,79.82,66,0,0,24.08,8.4,54.45,63.08,78.93,64,0,0,,,58.08,63.933,78.733,16.8
101,05-10-1977,63.88,77.52,128,0,0,,33.88,17.28,62.95,79.82,66,0,0,29.96,3.68,16.61,63.08,78.93,64,0,0,69.52,2.85,,63.933,78.733,14.8
102,30-11-1978,63.88,77.52,128,89,0,4.4,-1.72,0.96,62.95,79.82,66,0,2.38,8.56,-3.84,0.77,63.08,78.93,64,,0,,-3.8,3,63.933,78.733,0.3
103,09-08-1975,63.88,77.52,128,,0,,,27,62.95,79.82,66,0,0,35.2,14.48,27.06,63.08,78.93,64,0,0,35.2,,29.52,63.933,78.733,24.6
104,14-08-1976,63.88,77.52,128,,0,35.2,,27.6,62.95,79.82,66,0,0,32.64,14.4,26.29,63.08,78.93,64,0,0,,,,63.933,78.733,25.8
105,10-11-1977,63.88,77.52,128,0,0,2.2,23.74,-0.84,62.95,79.82,66,0,0,4.17,-3.6,,63.08,78.93,64,0,0,4.4,-2.85,1.2,63.933,78.733,0.7
106,27-03-1979,63.88,77.52,128,0,0,,2.58,9.6,62.95,79.82,66,0,0,23.33,3.68,13.97,63.08,78.93,64,0,0,65.01,,14.76,63.933,78.733,3.8
107,23-11-1977,63.88,77.52,128,,0,7.7,,5.04,62.95,79.82,66,0,0,6.42,0.4,5.17,63.08,78.93,64,0,0,,3.8,5.76,63.933,78.733,5.3
108,26-09-1978,63.88,77.52,128,,0,,,16.8,62.95,79.82,66,0,0,23.22,10.16,18.15,63.08,78.93,64,,0,25.3,,,63.933,78.733,15.8
109,28-05-1977,63.88,77.52,128,,0,31.9,,63.84,62.95,79.82,66,0,0,66.66,33.68,25.85,63.08,78.93,64,0,0,31.9,,28.56,63.933,78.733,22
110,21-02-1979,63.88,77.52,128,,0,-3.3,,-6.36,62.95,79.82,66,6,0,2.57,-4.4,-2.53,63.08,78.93,64,,0,2.2,,-2.16,63.933,78.733,-3.2
111,15-03-1979,63.88,77.52,128,,3.38,15.4,,9.84,62.95,79.82,66,0,0,21.4,0.48,10.67,63.08,78.93,64,0,0,23.1,,13.68,63.933,78.733,-0.6
112,28-04-1980,63.88,77.52,128,,0,,6.88,,62.95,79.82,66,23,0,25.47,10.16,20.13,63.08,78.93,64,,0,68.97,50.44,20.88,63.933,78.733,12.8
113,01-05-1977,63.88,77.52,128,,0,30.8,8.6,21.24,62.95,79.82,66,0,0,31.03,6.32,61.27,63.08,78.93,64,0,0,30.8,7.6,20.64,63.933,78.733,13.2
114,27-12-1979,63.88,77.52,128,,0,-1.1,,-5.64,62.95,79.82,66,0,0,-0.64,-3.76,21.34,63.08,78.93,64,0,0,2.2,,24.96,63.933,78.733,-1
115,16-08-1975,63.88,77.52,128,,0,27.5,,23.76,62.95,79.82,66,0,0,30.17,15.28,25.85,63.08,78.93,64,0,0,37.4,,26.76,63.933,78.733,22
116,28-10-1979,63.88,77.52,128,,0,34.76,,4.56,62.95,79.82,66,0,0,9.74,0,5.28,63.08,78.93,64,0,0,12.1,,7.2,63.933,78.733,3.4
117,30-03-1975,63.88,77.52,128,15,0,12.1,,7.8,62.95,79.82,66,150,0,11.45,3.68,51.04,63.08,78.93,64,19,0,,4.75,9.84,63.933,78.733,5.5
118,31-07-1979,63.88,77.52,128,0,0,46.2,,41.16,62.95,79.82,66,0,0,69.98,18.16,34.21,63.08,78.93,64,,0,45.1,,,63.933,78.733,29.8
119,05-05-1976,63.88,77.52,128,,0,23.1,,,62.95,79.82,66,0,0,71.48,31.68,58.41,63.08,78.93,64,0,0,,,,63.933,78.733,11.2
120,13-12-1975,63.88,77.52,128,,0,1.1,,35.88,62.95,79.82,66,0,0,5.03,-1.28,1.65,63.08,78.93,64,0,0,2.2,,-0.96,63.933,78.733,-0.6
121,20-12-1977,63.88,77.52,128,,0,-2.2,,-5.04,62.95,79.82,66,0,0,0.32,21.68,-1.32,63.08,78.93,64,0,0,,,-2.88,63.933,78.733,-3.8
122,20-04-1977,63.88,77.52,128,,0,,10.32,27.36,62.95,79.82,66,0,0,32.85,7.28,62.81,63.08,78.93,64,0,0,33,11.4,24.48,63.933,78.733,18.6
123,12-11-1978,63.88,77.52,128,,0,6.6,,4.56,62.95,79.82,66,0,0,7.28,1.68,41.58,63.08,78.93,64,0,0,,1.9,5.28,63.933,78.733,2.4
124,18-04-1978,63.88,77.52,128,,0,24.2,5.16,17.16,62.95,79.82,66,0,0,23.33,5.2,14.63,63.08,78.93,64,0,0,25.3,7.6,18.96,63.933,78.733,12
125,08-06-1977,63.88,77.52,128,,0,69.41,,39.6,62.95,79.82,66,0,0,39.8,14.48,31.57,63.08,78.93,64,,0,40.7,,36,63.933,78.733,25.5
126,07-12-1979,63.88,77.52,128,,0,,0.86,3.24,62.95,79.82,66,0,0,11.77,2.4,43.67,63.08,78.93,64,0,0,11,1.9,7.8,63.933,78.733,2.8
127,18-12-1976,63.88,77.52,128,,0,-3.3,-4.3,-5.52,62.95,79.82,66,43,0,-0.21,13.28,-2.53,63.08,78.93,64,45,0,-1.1,,-5.4,63.933,78.733,-1.6
128,25-11-1978,63.88,77.52,128,5,0,8.8,,3,62.95,79.82,66,0,0,31.14,1.44,,63.08,78.93,64,0,0,,4.75,6.36,63.933,78.733,3.2
129,27-12-1977,63.88,77.52,128,0,0,,,-5.52,62.95,79.82,66,0,0,4.39,-8.48,-5.39,63.08,78.93,64,,0,,,-3.96,63.933,78.733,-1.6
130,07-01-1976,63.88,77.52,128,,0,0,,-2.4,62.95,79.82,66,0,0,6.42,-1.2,2.53,63.08,78.93,64,0,0,,,,63.933,78.733,-0.3
131,28-11-1978,63.88,77.52,128,0,0,,,0.36,62.95,79.82,66,0,0,7.49,-3.04,27.17,63.08,78.93,64,0,0,7.7,30.4,0.84,63.933,78.733,1.8
132,11-06-1979,63.88,77.52,128,,0,30.8,,,62.95,79.82,66,0,3.45,29.32,5.68,20.24,63.08,78.93,64,0,0,30.8,,19.44,63.933,78.733,16.4
133,30-01-1978,63.88,77.52,128,0,0,-4.4,,-9.12,62.95,79.82,66,0,0,-5.35,-9.44,12.54,63.08,78.93,64,0,0,39.38,,-8.64,63.933,78.733,-6.4
134,27-09-1975,63.88,77.52,128,,0,27.5,6.02,15.84,62.95,79.82,66,0,0,28.25,7.28,18.7,63.08,78.93,64,0,0,,5.7,48.72,63.933,78.733,19.2
135,10-11-1976,63.88,77.52,128,0,0,37.62,,-5.52,62.95,79.82,66,8,0,1.71,-2.64,-0.88,63.08,78.93,64,1,0,,,-0.96,63.933,78.733,-0.7
136,14-10-1978,63.88,77.52,128,,0,12.1,,7.2,62.95,79.82,66,40,0,14.77,31.52,9.79,63.08,78.93,64,,2.07,44.11,,8.64,63.933,78.733,8.2
137,25-01-1978,63.88,77.52,128,,3.8,,,-15.24,62.95,79.82,66,0,2.26,-6.42,-12.4,14.08,63.08,78.93,64,0,0,-4.4,-14.25,-9.84,63.933,78.733,-12.5
138,18-01-1976,63.88,77.52,128,,0,1.1,,-3.36,62.95,79.82,66,0,0,4.17,-1.12,,63.08,78.93,64,0,0,3.3,,-0.48,63.933,78.733,-0.5
139,07-08-1978,63.88,77.52,128,,0,,,67.32,62.95,79.82,66,0,0,38.2,12.16,28.49,63.08,78.93,64,,0,35.2,,56.04,63.933,78.733,25.7
140,15-08-1977,63.88,77.52,128,0,0,35.2,14.62,25.2,62.95,79.82,66,0,0,34.24,16.88,29.04,63.08,78.93,64,0,0,36.3,,27.6,63.933,78.733,25
141,24-09-1977,63.88,77.52,128,,0,35.2,9.46,25.56,62.95,79.82,66,0,0,31.89,4.96,19.14,63.08,78.93,64,,2.84,65.12,8.55,23.4,63.933,78.733,17.6
142,28-08-1976,63.88,77.52,128,0,0,39.6,,28.08,62.95,79.82,66,0,0,37.77,12.32,,63.08,78.93,64,0,0,67.87,,29.28,63.933,78.733,25.2
143,29-09-1979,63.88,77.52,128,,0,,,25.2,62.95,79.82,66,0,0,30.17,7.76,20.79,63.08,78.93,64,,0,33,,26.16,63.933,78.733,20.8
144,17-02-1975,63.88,77.52,128,,0,4.4,,-0.96,62.95,79.82,66,0,0,10.7,-6.16,-0.11,63.08,78.93,64,0,0,,,,63.933,78.733,-3.5
